venda_id	venda_dt	cliente_email	distribuidora_id	entrega_tipo	produto_id	produto_valor	item_id	item_qtd
dcf5a816-e392-477e-849e-cda23df38d77	2020-10-14T12:13:37.456000	adislee0@ning.com	e7f4dcd8-d36e-4d8c-b523-4c69d9953fd5	retirada	6191efed-5754-4594-9554-65a5236a5cc6	39.50	6191efed-5754-4594-9554-65a5236a5cc6	2
b8c29072-d9df-4d0e-b22b-b81d36e7e87b	2021-04-28T16:35:03.637000	ndounbare1@deviantart.com	156c2b9f-b77c-4439-b731-05523d8a02bc	retirada	81f231bc-7bb6-4134-93dc-9b637fc5f988	27.60	def781f5-c52a-4e17-8836-7e2b2e2d3761	1
b8c29072-d9df-4d0e-b22b-b81d36e7e87b	2021-04-28T16:35:03.637000	ndounbare1@deviantart.com	156c2b9f-b77c-4439-b731-05523d8a02bc	retirada	81f231bc-7bb6-4134-93dc-9b637fc5f988	27.60	dd05c354-6e7b-477a-ad80-4707a73a0132	1
b8c29072-d9df-4d0e-b22b-b81d36e7e87b	2021-04-28T16:35:03.637000	ndounbare1@deviantart.com	156c2b9f-b77c-4439-b731-05523d8a02bc	retirada	81f231bc-7bb6-4134-93dc-9b637fc5f988	27.60	dcdcedac-c8fb-43bb-b44e-45549627ab5f	1
b8c29072-d9df-4d0e-b22b-b81d36e7e87b	2021-04-28T16:35:03.637000	ndounbare1@deviantart.com	156c2b9f-b77c-4439-b731-05523d8a02bc	retirada	05edf194-5dc4-4dbc-a127-e116b65986d6	25.00	05edf194-5dc4-4dbc-a127-e116b65986d6	5
2532632c-bfa3-4930-8d28-b43118a6fdea	2020-10-19T00:39:06.257000	hdebernardi2@chronoengine.com	2b2792f6-c843-44f0-80e2-35ab5f5d8fe6	entrega	e8c6fccc-598a-401a-8aec-45f4141bd8a7	48.10	75981c0a-5ea8-490f-9187-715bcab6b7c1	4
2532632c-bfa3-4930-8d28-b43118a6fdea	2020-10-19T00:39:06.257000	hdebernardi2@chronoengine.com	2b2792f6-c843-44f0-80e2-35ab5f5d8fe6	entrega	e8c6fccc-598a-401a-8aec-45f4141bd8a7	48.10	698e5887-42ea-4763-87d3-1507f063171f	4
2532632c-bfa3-4930-8d28-b43118a6fdea	2020-10-19T00:39:06.257000	hdebernardi2@chronoengine.com	2b2792f6-c843-44f0-80e2-35ab5f5d8fe6	entrega	e8c6fccc-598a-401a-8aec-45f4141bd8a7	48.10	a578063c-8967-4f0d-8702-d8da6c9ff22a	4
2532632c-bfa3-4930-8d28-b43118a6fdea	2020-10-19T00:39:06.257000	hdebernardi2@chronoengine.com	2b2792f6-c843-44f0-80e2-35ab5f5d8fe6	entrega	e8c6fccc-598a-401a-8aec-45f4141bd8a7	48.10	515b0d24-4ba2-4b61-9839-b04e7d399d1e	4
2532632c-bfa3-4930-8d28-b43118a6fdea	2020-10-19T00:39:06.257000	hdebernardi2@chronoengine.com	2b2792f6-c843-44f0-80e2-35ab5f5d8fe6	entrega	047cabb9-7f69-4460-8cfa-2ccbb3463332	6.60	7c291cb5-c42c-474f-9fea-7990c69788d2	1
2532632c-bfa3-4930-8d28-b43118a6fdea	2020-10-19T00:39:06.257000	hdebernardi2@chronoengine.com	2b2792f6-c843-44f0-80e2-35ab5f5d8fe6	entrega	047cabb9-7f69-4460-8cfa-2ccbb3463332	6.60	93bbd9c3-a824-480b-b79e-c8fcd5427316	1
